num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
115,OY979870.1_1_2_2314,770,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
116,OY980280.1_1_3_1769,588,27,1.0,15,15.0,100.0,QOE76814.1,6385,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
117,OY980385.1_1_1_1542,513,92,0.9,11,6.0,54.55,QGM78573.1,1247,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
118,OY980510.1_1_25_2298,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
119,OY980598.1_1_1_2298,765,12,1.0,24,11.0,45.83,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
120,OY980847.1_1_1_2151,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
121,OY981414.1_1_25_2298,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
122,OY981457.1_1_1_1542,513,19,0.98,11,10.0,90.91,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
123,OY981653.1_1_1_2307,768,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
124,OY981930.1_1_2_1429,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
125,OY981973.1_1_1_2307,768,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
126,OY982231.1_1_58_2160,700,6,1.0,20,20.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
127,OY982416.1_1_3_1730,575,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
128,OY982439.1_1_1_1497,498,19,1.0,10,10.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
129,OY982508.1_1_2_1429,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
130,LC770331.1_1_3_5138,1711,133,0.96,71,56.0,78.87,AST08162.1,783,Hepeviridae,Hepeviridae,Hepeviridae,Paslahepevirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
131,LC770331.1_2_5173_7155,660,56,1.0,18,18.0,100.0,QCF29645.1,2478,Hepeviridae,Hepeviridae,Hepeviridae,Paslahepevirus,capsid protein,Structural-Envelope,Homo sapiens,ssRNA(+)
132,LC790154.1_1_1_6843,2280,70,1.0,99,99.0,100.0,AWK57622.1,1751,Caliciviridae,Caliciviridae,Caliciviridae,Sapovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
133,OR888526.1_1_1_981,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
134,OR888536.1_1_1_981,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
135,OR490722.1_1_1_1710,569,88,1.0,14,14.0,100.0,YP_009505804.1,1282,Arenaviridae,Arenaviridae,Arenaviridae,Mammarenavirus,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-)
136,OR890133.1_1_1_2337,778,23,1.0,24,24.0,100.0,ARB49194.1,7726,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP4,Structural-Envelope,Homo sapiens,dsRNA
137,OR890172.1_1_2_2656,884,52,1.0,30,30.0,100.0,YP_003896047.1,2626,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP2,Other-Functions,Homo sapiens,dsRNA
138,OR910193.1_1_1_1542,513,19,1.0,11,11.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
139,OR910440.1_1_1_2307,768,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
140,OR879096.1_1_320_1270,316,979,0.95,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
141,OR903282.1_1_1_2151,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
142,OP858740.1_1_2_9379,3125,15,1.0,142,99.0,69.72,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
143,OP858755.1_1_1_10008,3335,15,0.99,152,138.0,90.79,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
144,OQ059171.1_1_1_1701,566,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
145,OQ059221.1_1_2_1429,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
146,OQ067988.1_1_2_1429,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
147,OQ068283.1_1_1_1542,513,92,0.93,11,11.0,100.0,QGM78573.1,1247,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
148,OR843261.1_1_2_994,330,62,1.0,2,2.0,100.0,QJI53616.1,2129,Circoviridae,Circoviridae,Circoviridae,Circovirus,replication-associated protein,Replication-Transcription,Sus scrofa,ssDNA(+/-)
149,OR843266.1_1_3_995,330,62,1.0,2,2.0,100.0,QJI53616.1,2129,Circoviridae,Circoviridae,Circoviridae,Circovirus,replication-associated protein,Replication-Transcription,Sus scrofa,ssDNA(+/-)
150,OR855753.1_2_1700_2749,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
151,OR855753.1_3_2839_4596,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
152,OR855753.1_4_4841_6154,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
153,OR855753.1_11_10916_12898,660,442,1.0,18,18.0,100.0,SNB53750.1,146,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
154,OR855753.1_13_13373_15265,630,563,0.99,17,17.0,100.0,AXN75247.1,110,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV027 protein,Other-Functions,Homo sapiens,dsDNA
155,OR855753.1_22_21103_22431,442,535,1.0,8,8.0,100.0,YP_010085700.1,119,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV039 protein,Other-Functions,Homo sapiens,dsDNA
156,OR855753.1_25_24349_25476,375,978,0.98,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
157,OR855753.1_27_25821_27095,424,650,1.0,7,7.0,100.0,YP_009268722.1,80,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV044 protein,Other-Functions,Homo sapiens,dsDNA
158,OR855753.1_32_29744_31192,482,670,1.0,10,10.0,100.0,AKG51195.1,75,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV050 protein,Other-Functions,Homo sapiens,dsDNA
159,OR855753.1_33_31203_32162,319,979,1.0,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
160,OR855753.1_39_34675_35994,439,513,1.0,7,7.0,100.0,YP_009112869.1,125,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,Ser/Thr kinase,Other-Functions,Homo sapiens,dsDNA
161,OR855753.1_40_36017_37051,344,112,0.99,3,1.0,33.33,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
162,OR855753.1_41_37125_39032,635,421,1.0,17,17.0,100.0,QHG62585.1,155,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,EEV maturation protein,Other-Functions,Homo sapiens,dsDNA
163,OR855753.1_42_39075_40193,372,182,1.0,4,4.0,100.0,QHW16755.1,542,Poxviridae,Poxviridae,Poxviridae,Parapoxvirus,major envelope protein,Structural-Envelope,Capra hircus,dsDNA
164,OR855753.1_48_42247_43686,479,553,1.0,9,9.0,100.0,3OWG_A,114,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,poly(A) polymerase large subunit,Replication-Transcription,Homo sapiens,dsDNA
165,OR855753.1_49_43683_45896,737,482,1.0,22,20.0,90.91,QGN68033.1,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
166,OR855753.1_53_48199_49902,567,431,1.0,14,14.0,100.0,YP_010085169.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
167,OR855753.1_56_51416_54436,1006,243,1.0,36,36.0,100.0,NP_957802.1,349,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA
168,OR855753.1_59_55126_57123,665,385,1.0,19,19.0,100.0,QHR82581.1,177,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
169,OR855753.1_61_57643_58581,312,676,0.83,1,1.0,100.0,QDZ58984.1,73,Phasmaviridae,Phasmaviridae,Phasmaviridae-Peribunyaviridae,Orthophasmavirus,RNA-dependent RNA polymerase,Replication-Transcription,Chaoborus americanus,ssRNA(-)
170,OR855753.1_64_59701_61977,758,250,1.0,23,23.0,100.0,AAN04389.1,336,Poxviridae,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Orthopoxvirus,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA
171,OR855753.1_65_62302_63450,382,521,1.0,5,5.0,100.0,QJQ40211.1,123,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
172,OR855753.1_66_63443_64714,423,465,1.0,7,7.0,100.0,NP_044000.1,139,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,viral core cysteine proteinase,Structural-Envelope,Homo sapiens,dsDNA
173,OR855753.1_67_64720_66750,676,361,1.0,19,19.0,100.0,BCT22704.1,190,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,RNA-helicase,Replication-Transcription,Homo sapiens,dsDNA
174,OR855753.1_68_66754_68529,591,614,1.0,15,15.0,100.0,QGN68052.1,90,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV088 protein,Other-Functions,Homo sapiens,dsDNA
175,OR855753.1_72_69864_71168,434,461,1.0,7,7.0,100.0,QDJ95070.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
176,OR855753.1_75_71830_72945,371,979,0.99,4,1.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
177,OR855753.1_77_73778_74800,340,897,0.94,2,1.0,50.0,AKS10590.1,39,Nimaviridae,Nimaviridae,Nimaviridae-Caulimoviridae,Whispovirus,hypothetical protein,Other-Functions,Penaeus vannamei,dsDNA
178,OR855753.1_80_75839_76873,344,917,0.94,3,1.0,33.33,YP_009051991.1,37,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
179,OR855753.1_85_79083_80084,333,979,0.99,2,2.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
180,OR855753.1_88_81124_84984,1286,321,1.0,50,50.0,100.0,ACN81881.1,227,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA
181,OR855753.1_91_86083_87057,324,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
182,OR855753.1_92_87058_89445,795,391,1.0,25,25.0,100.0,YP_009112799.1,175,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV113 protein,Replication-Transcription,Homo sapiens,dsDNA
183,OR855753.1_96_91729_94266,845,394,1.0,28,28.0,100.0,AQY17018.1,173,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,mRNA capping enzyme large subunit,Other-Functions,Homo sapiens,dsDNA
184,OR855753.1_99_96047_98404,785,496,1.0,25,25.0,100.0,YP_008658501.1,130,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,NTPase,Other-Functions,Homo sapiens,dsDNA
185,OR855753.1_100_98444_100357,637,539,1.0,17,17.0,100.0,YP_009162462.1,117,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,m81R,Replication-Transcription,Homo sapiens,dsDNA
186,OR855753.1_105_103173_105068,631,500,1.0,17,17.0,100.0,YP_009389359.1,129,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV128 protein,Replication-Transcription,Homo sapiens,dsDNA
187,OR855753.1_107_105997_107652,551,483,1.0,13,13.0,100.0,6BEB_A,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV131 protein,Structural-Envelope,Homo sapiens,dsDNA
188,OR855753.1_111_109068_111002,644,235,1.0,18,18.0,100.0,YP_010085229.1,361,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,4b core protein,Structural-Envelope,Gallus gallus,dsDNA
189,OR855753.1_114_112420_113538,372,374,0.91,4,3.0,75.0,YP_010088065.1,181,Fimoviridae,Fimoviridae,Fimoviridae,Emaravirus,RNA-dependent RNA polymerase,Replication-Transcription,Rosa sp.,ssRNA(-)
190,OR855753.1_115_113562_115694,710,414,1.0,21,21.0,100.0,NP_957860.1,159,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV139 protein,Other-Functions,Homo sapiens,dsDNA
191,OR855753.1_118_116910_119585,891,331,1.0,30,30.0,100.0,YP_009268819.1,215,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV142 protein,Other-Functions,Homo sapiens,dsDNA
192,OR855753.1_119_119600_120556,318,370,0.97,1,1.0,100.0,YP_009252248.1,184,Herpesviridae,Orthoherpesviridae,Herpesviridae,Varicellovirus,ORF22,Structural-Envelope,Homo sapiens,dsDNA
193,OR855753.1_123_122180_123313,377,112,1.0,4,4.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
194,OR855753.1_125_123960_125423,487,378,1.0,10,10.0,100.0,QHW17751.1,180,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA helicase,Replication-Transcription,Homo sapiens,dsDNA
195,OR855753.1_127_125984_127264,426,562,1.0,7,7.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
196,OR855753.1_129_127777_128925,382,562,0.99,5,5.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
197,OR855753.1_130_128922_132416,1164,377,1.0,44,44.0,100.0,BCT22673.1,180,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo132,Replication-Transcription,Homo sapiens,dsDNA
198,OR855753.1_135_133990_136080,696,337,1.0,20,20.0,100.0,SNB54148.1,207,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA
199,OR855753.1_136_136126_137655,509,354,1.0,11,11.0,100.0,SNB57926.1,194,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA
200,OR855753.1_139_138480_139397,305,885,0.91,1,1.0,100.0,YP_009362026.1,40,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Herbevirus,RNA-dependent RNA polymerase,Replication-Transcription,Culex simpliciforceps,ssRNA(-)
201,OR855753.1_155_148343_149383,346,486,0.94,3,2.0,66.67,YP_654692.1,133,Iridoviridae,Iridoviridae,Iridoviridae-Ascoviridae,Ranavirus,DNA polymerase,Replication-Transcription,Ambystoma tigrinum,dsDNA
202,OR855753.1_160_152680_154359,559,402,1.0,13,13.0,100.0,GBG35356.1,167,Poxviridae,Poxviridae,Poxviridae-Baculoviridae-Nimaviridae-Caulimoviridae,Orthopoxvirus,DNA ligase,Other-Functions,Homo sapiens,dsDNA
203,OR855753.1_161_154400_155404,334,112,0.99,2,1.0,50.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
204,OR855753.1_166_158905_159846,313,748,1.0,1,1.0,100.0,NP_050266.1,59,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
205,OR855753.1_168_161578_163095,505,460,1.0,11,11.0,100.0,SMZ64733.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,DNA-Binding,Homo sapiens,dsDNA
206,OR855753.1_169_163321_165006,561,555,1.0,14,14.0,100.0,YP_009143489.1,113,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
207,OR855753.1_170_165110_166063,317,926,1.0,1,1.0,100.0,ALD83625.1,36,Nairoviridae,Nairoviridae,Nairoviridae,Orthonairovirus,glycoprotein precursor,Glycoprotein,Ixodes uriae,ssRNA(-)
208,OR855753.1_177_170976_172010,344,295,1.0,3,3.0,100.0,AIE40966.1,256,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA
209,OR855753.1_182_174505_175575,356,978,0.9,3,2.0,66.67,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
210,OR855753.1_183_175644_178007,787,429,1.0,25,25.0,100.0,YP_009408570.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV011 protein,Other-Functions,Homo sapiens,dsDNA
211,OR855753.1_187_179254_180327,357,295,1.0,3,3.0,100.0,AIE40966.1,256,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA
212,OR855753.1_189_181344_186986,1880,501,1.0,79,79.0,100.0,QGM48758.1,128,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
213,OR855753.1_194_191042_192355,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
214,OR855753.1_195_192600_194357,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
215,OR855753.1_196_194447_195496,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
216,OQ731576.1_2_632_1612,326,175,1.0,2,2.0,100.0,AGO32039.1,587,Reoviridae,Spinareoviridae,Reoviridae,Orthoreovirus,sigma C,Cellular-Regulation,Gallus gallus,dsRNA
217,OR865599.1_1_1_1701,566,13,1.0,14,14.0,100.0,QOE76806.1,22160,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
218,OR865710.1_1_8_1408,466,32,1.0,9,9.0,100.0,AVM87625.1,4547,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
219,OR866601.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
220,OR866613.1_1_1_2274,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
221,OR866656.1_1_1_1701,566,13,1.0,14,14.0,100.0,QOE76806.1,22160,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
222,OR866743.1_1_1_1497,498,19,1.0,10,10.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
223,OR866775.1_1_1_1497,498,19,1.0,10,10.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
224,OR874100.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
225,OR874159.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
226,OR874207.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
227,OR874217.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
228,OR874413.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
229,LC773580.1_1_2_3841,1279,416,1.0,49,47.0,95.92,YP_003717771.1,156,Reoviridae,Spinareoviridae,Reoviridae,Orthoreovirus,core shell protein,Structural-Envelope,Salmo salar,dsRNA
230,OR644793.1_1_3_5684,1893,109,1.0,80,80.0,100.0,AYI50358.1,1026,Togaviridae,Togaviridae,Togaviridae,Alphavirus,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+)
231,OR644793.1_2_5763_7526,587,109,1.0,15,15.0,100.0,AYI50358.1,1026,Togaviridae,Togaviridae,Togaviridae,Alphavirus,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+)
232,OR644793.1_3_7589_11329,1246,44,1.0,48,48.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
233,OR861256.1_1_1_1530,509,19,1.0,11,11.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
234,OR861278.1_1_13_2163,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
